p,Aleatorio_media_km,Produccion_km,Voraz_km
3,120.17822030163703,38.90346097901841,38.02295645465094
5,78.44901441720779,31.902908474747992,16.62166718898823
7,73.97150986430371,10.29687373279227,9.639804742129789
10,48.726741556270404,3.793611288180307,3.721808806322683
