p,media,mediana,mejor,peor,desviacion_estandar
3,120.17822030163703,113.26037930484448,57.747378470967156,260.5787145304268,48.5229988509263
5,78.44901441720779,84.20674629606178,30.104638138379983,146.71566372492086,31.614903465740692
7,73.97150986430371,62.888040989351666,25.555131702069236,201.73176703466405,45.60084210522042
10,48.726741556270404,43.394354096311304,19.21239002803221,106.17778601325179,20.638685674795212
