numero_centros,menor_f1_km,f2_asociado_km,menor_f2_km,f1_asociado_km
3,32.56141237266288,218.757001,138.045942,89.5044624580781
4,20.487328985594157,218.757001,125.23272,54.28411638334645
5,16.62166718898823,218.757001,106.008269,29.702325248994832
6,12.780371240715173,218.757001,95.229076,41.343363354687035
7,9.639804742129789,218.757001,81.482774,39.81219947498599
8,6.504914034465295,197.327862,77.851593,42.7399266969639
9,4.541930459080558,197.327862,64.305504,33.47166819979354
10,3.792068344553351,197.327862,64.305504,21.39758481272482
