seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
15,55,50.57806318396204,129.044191,4,"[20, 23, 32, 33]","['El Mante', 'Mier', 'Río Bravo', 'San Carlos']"
25,59,51.13003696758984,129.044191,4,"[20, 26, 32, 33]","['El Mante', 'Nuevo Laredo', 'Río Bravo', 'San Carlos']"
4,64,52.9319862859672,133.161241,4,"[11, 24, 29, 32]","['González', 'Miguel Alemán', 'Padilla', 'Río Bravo']"
1,74,53.114491960536824,133.161241,4,"[11, 23, 29, 32]","['González', 'Mier', 'Padilla', 'Río Bravo']"
1,65,53.36517065740027,129.804564,4,"[7, 11, 24, 39]","['Casas', 'González', 'Miguel Alemán', 'Valle Hermoso']"
0,60,53.56391419730214,128.460678,4,"[7, 11, 23, 39]","['Casas', 'González', 'Mier', 'Valle Hermoso']"
2,39,53.78673318970865,128.460678,4,"[7, 11, 13, 39]","['Casas', 'González', 'Guerrero', 'Valle Hermoso']"
8,57,54.08537284344458,129.804564,4,"[11, 12, 24, 39]","['González', 'Güémez', 'Miguel Alemán', 'Valle Hermoso']"
20,20,54.10531395737595,135.251233,4,"[7, 11, 24, 32]","['Casas', 'González', 'Miguel Alemán', 'Río Bravo']"
1,35,54.28411638334645,125.23272,4,"[11, 12, 23, 39]","['González', 'Güémez', 'Mier', 'Valle Hermoso']"
5,76,54.50693537575296,125.23272,4,"[11, 12, 13, 39]","['González', 'Güémez', 'Guerrero', 'Valle Hermoso']"
23,1,54.615260311530626,132.960606,4,"[2, 7, 13, 39]","['Altamira', 'Casas', 'Guerrero', 'Valle Hermoso']"
20,61,54.72862869953086,129.804564,4,"[7, 11, 26, 39]","['Casas', 'González', 'Nuevo Laredo', 'Valle Hermoso']"
6,14,54.79154178538814,125.238462,4,"[1, 12, 13, 39]","['Aldama', 'Güémez', 'Guerrero', 'Valle Hermoso']"
4,43,54.81153305719145,129.804564,4,"[11, 12, 24, 32]","['González', 'Güémez', 'Miguel Alemán', 'Río Bravo']"
0,97,54.98160757845466,127.953689,4,"[11, 23, 39, 40]","['González', 'Mier', 'Valle Hermoso', 'Victoria']"
0,36,54.99403873176108,126.101423,4,"[11, 12, 23, 32]","['González', 'Güémez', 'Mier', 'Río Bravo']"
2,50,55.12697115103506,126.101423,4,"[11, 12, 13, 32]","['González', 'Güémez', 'Guerrero', 'Río Bravo']"
0,3,16.62166718898823,218.757001,5,"[11, 21, 32, 34, 39]","['González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,23,17.352438277929657,197.327862,5,"[11, 21, 31, 32, 34]","['González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando']"
0,9,19.509264540550127,159.121441,5,"[6, 11, 21, 32, 34]","['Camargo', 'González', 'Matamoros', 'Río Bravo', 'San Fernando']"
0,6,22.884285306543312,150.277393,5,"[6, 21, 32, 34, 42]","['Camargo', 'Matamoros', 'Río Bravo', 'San Fernando', 'Xicoténcatl']"
0,22,27.742051979345796,146.150389,5,"[6, 7, 11, 32, 34]","['Camargo', 'Casas', 'González', 'Río Bravo', 'San Fernando']"
0,82,27.985636966192395,129.804564,5,"[7, 11, 24, 32, 34]","['Casas', 'González', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,24,28.168142640762028,128.460678,5,"[7, 11, 23, 32, 34]","['Casas', 'González', 'Mier', 'Río Bravo', 'San Fernando']"
2,8,28.301075060036,128.460678,5,"[7, 11, 13, 32, 34]","['Casas', 'González', 'Guerrero', 'Río Bravo', 'San Fernando']"
4,72,28.515421858926004,146.150389,5,"[6, 11, 29, 32, 34]","['Camargo', 'González', 'Padilla', 'Río Bravo', 'San Fernando']"
4,57,28.759006845772596,133.161241,5,"[11, 24, 29, 32, 34]","['González', 'Miguel Alemán', 'Padilla', 'Río Bravo', 'San Fernando']"
4,53,28.839404566311316,129.804564,5,"[11, 12, 24, 32, 34]","['González', 'Güémez', 'Miguel Alemán', 'Río Bravo', 'San Fernando']"
0,38,29.02191024088095,125.23272,5,"[11, 12, 23, 32, 34]","['González', 'Güémez', 'Mier', 'Río Bravo', 'San Fernando']"
2,44,29.154842660154923,125.23272,5,"[11, 12, 13, 32, 34]","['González', 'Güémez', 'Guerrero', 'Río Bravo', 'San Fernando']"
0,29,29.569392829720854,122.698237,5,"[11, 23, 32, 34, 40]","['González', 'Mier', 'Río Bravo', 'San Fernando', 'Victoria']"
0,18,29.702325248994832,106.008269,5,"[11, 13, 32, 34, 40]","['González', 'Guerrero', 'Río Bravo', 'San Fernando', 'Victoria']"
15,34,30.121366613348652,116.83644,5,"[11, 26, 32, 34, 40]","['González', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria']"
25,73,31.49807074523642,122.698237,5,"[11, 23, 25, 32, 34]","['González', 'Mier', 'Miquihuana', 'Río Bravo', 'San Fernando']"
26,14,31.631003164510393,110.47534,5,"[11, 13, 25, 32, 34]","['González', 'Guerrero', 'Miquihuana', 'Río Bravo', 'San Fernando']"
25,30,32.05004452886421,116.83644,5,"[11, 25, 26, 32, 34]","['González', 'Miquihuana', 'Nuevo Laredo', 'Río Bravo', 'San Fernando']"
26,81,34.60661363547022,106.008269,5,"[11, 13, 34, 39, 40]","['González', 'Guerrero', 'San Fernando', 'Valle Hermoso', 'Victoria']"
13,82,35.81337292303365,122.698237,5,"[9, 11, 18, 23, 32]","['Cruillas', 'González', 'Llera', 'Mier', 'Río Bravo']"
10,34,35.94630534230762,111.114446,5,"[9, 11, 13, 18, 32]","['Cruillas', 'González', 'Guerrero', 'Llera', 'Río Bravo']"
13,60,36.36534670666145,116.83644,5,"[9, 11, 18, 26, 32]","['Cruillas', 'González', 'Llera', 'Nuevo Laredo', 'Río Bravo']"
6,44,36.54629476764596,122.698237,5,"[1, 18, 22, 23, 32]","['Aldama', 'Llera', 'Méndez', 'Mier', 'Río Bravo']"
6,94,36.5492444427198,120.713771,5,"[11, 13, 18, 22, 32]","['González', 'Guerrero', 'Llera', 'Méndez', 'Río Bravo']"
6,22,36.90084873904662,111.114446,5,"[9, 11, 13, 32, 42]","['Cruillas', 'González', 'Guerrero', 'Río Bravo', 'Xicoténcatl']"
15,59,37.349767871745165,106.008269,5,"[11, 26, 31, 34, 40]","['González', 'Nuevo Laredo', 'Reynosa', 'San Fernando', 'Victoria']"
25,24,39.27844578726073,110.47534,5,"[11, 25, 26, 31, 34]","['González', 'Miquihuana', 'Nuevo Laredo', 'Reynosa', 'San Fernando']"
10,82,40.17221088370424,106.008269,5,"[4, 11, 13, 18, 32]","['Burgos', 'González', 'Guerrero', 'Llera', 'Río Bravo']"
6,80,42.0018804825928,106.008269,5,"[1, 13, 18, 32, 35]","['Aldama', 'Guerrero', 'Llera', 'Río Bravo', 'San Nicolás']"
13,73,43.593747965057965,111.114446,5,"[9, 11, 18, 26, 31]","['Cruillas', 'González', 'Llera', 'Nuevo Laredo', 'Reynosa']"
25,33,49.519340361142994,106.008269,5,"[11, 18, 26, 31, 35]","['González', 'Llera', 'Nuevo Laredo', 'Reynosa', 'San Nicolás']"
17,83,52.94612270698314,106.008269,5,"[11, 18, 26, 31, 33]","['González', 'Llera', 'Nuevo Laredo', 'Reynosa', 'San Carlos']"
0,16,12.780371240715173,218.757001,6,"[7, 11, 21, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,11,13.397849044528177,218.757001,6,"[0, 11, 21, 32, 34, 39]","['Abasolo', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,11,13.486776481323737,197.327862,6,"[11, 21, 31, 32, 34, 39]","['González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,17,15.643602743944205,159.121441,6,"[6, 11, 21, 32, 34, 39]","['Camargo', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
