p,seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,indices_centros,centros
10,0,4,3.721808806322683,197.327862,"[2, 7, 11, 21, 22, 31, 32, 34, 36, 39]","['Altamira', 'Casas', 'González', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Soto la Marina', 'Valle Hermoso']"
10,0,5,3.9182121727592514,146.150389,"[2, 6, 7, 11, 21, 22, 31, 32, 34, 39]","['Altamira', 'Camargo', 'Casas', 'González', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,0,3,4.080671554817162,129.804564,"[2, 7, 11, 21, 22, 24, 31, 32, 34, 39]","['Altamira', 'Casas', 'González', 'Matamoros', 'Méndez', 'Miguel Alemán', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,0,6,4.196939079436624,128.460678,"[2, 7, 11, 21, 22, 23, 31, 32, 34, 39]","['Altamira', 'Casas', 'González', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,0,2,5.138918504543778,125.23272,"[2, 11, 12, 21, 22, 23, 31, 32, 34, 39]","['Altamira', 'González', 'Güémez', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,10,5,5.2718509238177536,125.23272,"[2, 11, 12, 13, 21, 22, 31, 32, 34, 39]","['Altamira', 'González', 'Güémez', 'Guerrero', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,15,10,5.483909884187712,125.23272,"[2, 11, 12, 21, 22, 26, 31, 32, 34, 39]","['Altamira', 'González', 'Güémez', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,0,9,5.5995143367154245,122.698237,"[2, 11, 21, 22, 23, 31, 32, 34, 39, 40]","['Altamira', 'González', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,0,1,5.7324467559894,106.008269,"[2, 11, 13, 21, 22, 31, 32, 34, 39, 40]","['Altamira', 'González', 'Guerrero', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,0,8,7.283771005422787,103.28924,"[6, 11, 21, 22, 26, 31, 32, 34, 39, 40]","['Camargo', 'González', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,1,11,8.614259057454806,99.762503,"[4, 6, 11, 21, 26, 31, 32, 34, 39, 40]","['Burgos', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,23,9,8.685011016706213,99.762503,"[4, 11, 14, 21, 26, 31, 32, 34, 39, 40]","['Burgos', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,14,11,8.776718439512717,99.762503,"[4, 11, 21, 24, 26, 31, 32, 34, 39, 40]","['Burgos', 'González', 'Matamoros', 'Miguel Alemán', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,4,12,8.89298596413218,99.762503,"[4, 11, 21, 23, 26, 31, 32, 34, 39, 40]","['Burgos', 'González', 'Matamoros', 'Mier', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,2,8,8.97079739603194,101.132136,"[4, 6, 11, 18, 21, 26, 31, 32, 34, 39]","['Burgos', 'Camargo', 'González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,6,15,9.025918383406156,99.762503,"[4, 11, 13, 21, 26, 31, 32, 34, 39, 40]","['Burgos', 'González', 'Guerrero', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,0,14,9.128821975351014,91.820321,"[6, 11, 18, 21, 22, 26, 29, 32, 34, 39]","['Camargo', 'González', 'Llera', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,1,15,9.19957393460242,91.820321,"[11, 14, 18, 21, 22, 26, 29, 32, 34, 39]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,2,13,9.248905332630365,93.902475,"[6, 11, 12, 18, 21, 22, 26, 32, 34, 39]","['Camargo', 'González', 'Güémez', 'Llera', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,10,17,9.263813369025653,99.762503,"[6, 11, 21, 22, 26, 29, 32, 34, 39, 40]","['Camargo', 'González', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
10,13,9,9.29970600470268,93.902475,"[6, 11, 12, 21, 22, 26, 32, 34, 39, 42]","['Camargo', 'González', 'Güémez', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Xicoténcatl']"
10,10,16,9.315101706168344,91.820321,"[6, 11, 16, 21, 22, 26, 29, 32, 34, 39]","['Camargo', 'González', 'Jaumave', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,15,17,9.520715457285748,93.902475,"[6, 11, 12, 18, 21, 26, 31, 32, 34, 39]","['Camargo', 'González', 'Güémez', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,15,16,9.677215849282195,92.781591,"[4, 6, 7, 11, 18, 21, 26, 32, 34, 39]","['Burgos', 'Camargo', 'Casas', 'González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,15,11,9.73506536008257,91.820321,"[6, 11, 21, 26, 29, 31, 32, 34, 38, 39]","['Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Padilla', 'Reynosa', 'Río Bravo', 'San Fernando', 'Tula', 'Valle Hermoso']"
10,13,13,9.74119236758457,91.820321,"[11, 16, 21, 22, 23, 26, 29, 32, 34, 39]","['González', 'Jaumave', 'Matamoros', 'Méndez', 'Mier', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,2,18,10.016247043103954,92.781591,"[4, 5, 7, 11, 14, 21, 26, 32, 34, 39]","['Burgos', 'Bustamante', 'Casas', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
10,2,2,10.659492623042665,91.820321,"[5, 11, 14, 21, 22, 26, 29, 31, 32, 34]","['Bustamante', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Reynosa', 'Río Bravo', 'San Fernando']"
10,0,13,10.668640302516568,89.54682,"[6, 7, 11, 18, 21, 26, 32, 33, 34, 39]","['Camargo', 'Casas', 'González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Carlos', 'San Fernando', 'Valle Hermoso']"
10,26,13,10.815572917395006,89.54682,"[6, 7, 11, 18, 21, 26, 32, 34, 35, 39]","['Camargo', 'Casas', 'González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás', 'Valle Hermoso']"
10,9,13,10.849752174568396,91.627469,"[6, 7, 11, 21, 26, 28, 32, 33, 34, 39]","['Camargo', 'Casas', 'González', 'Matamoros', 'Nuevo Laredo', 'Ocampo', 'Río Bravo', 'San Carlos', 'San Fernando', 'Valle Hermoso']"
10,1,10,10.856914590451453,89.54682,"[6, 7, 11, 16, 21, 26, 32, 33, 34, 39]","['Camargo', 'Casas', 'González', 'Jaumave', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Carlos', 'San Fernando', 'Valle Hermoso']"
10,13,8,10.88632487664641,89.54682,"[7, 11, 14, 18, 21, 26, 32, 34, 35, 39]","['Casas', 'González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás', 'Valle Hermoso']"
