seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
0,39,5.7324467559894,106.008269,10,"[2, 11, 13, 21, 22, 31, 32, 34, 39, 40]","['Altamira', 'González', 'Guerrero', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,40,12.519681100102808,91.820321,9,"[5, 6, 11, 21, 26, 29, 32, 34, 39]","['Bustamante', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,41,13.762580065320183,106.008269,7,"[11, 13, 21, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,42,7.695430331374136,106.008269,9,"[11, 13, 21, 22, 31, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,43,9.087830958501987,128.460678,8,"[7, 11, 21, 22, 23, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,44,13.629647646046207,122.698237,7,"[11, 21, 23, 32, 34, 39, 40]","['González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,45,13.0821650572063,125.23272,7,"[11, 12, 21, 23, 32, 34, 39]","['González', 'Güémez', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,46,9.639804742129789,218.757001,7,"[7, 11, 21, 22, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,47,39.36268157507131,81.262904,8,"[1, 7, 14, 21, 26, 27, 35, 40]","['Aldama', 'Casas', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Nuevo Morelos', 'San Nicolás', 'Victoria']"
0,48,10.623338635054765,106.008269,8,"[11, 13, 21, 22, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,49,10.490406215780789,122.698237,8,"[11, 21, 22, 23, 32, 34, 39, 40]","['González', 'Matamoros', 'Méndez', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,50,8.66174029708576,146.150389,8,"[6, 7, 11, 21, 22, 32, 34, 39]","['Camargo', 'Casas', 'González', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,51,6.159922654821361,128.460678,9,"[7, 11, 21, 22, 23, 31, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,52,10.062646496817313,91.820321,10,"[5, 11, 13, 21, 22, 26, 29, 32, 34, 39]","['Bustamante', 'González', 'Guerrero', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,53,10.064315554364562,103.28924,9,"[6, 11, 21, 22, 26, 32, 34, 39, 40]","['Camargo', 'González', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,54,16.385342896708732,91.820321,8,"[5, 6, 11, 21, 26, 29, 32, 34]","['Bustamante', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando']"
0,55,5.8811957481439885,146.150389,9,"[6, 7, 11, 21, 22, 31, 32, 34, 39]","['Camargo', 'Casas', 'González', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,56,7.562497912100159,122.698237,9,"[11, 21, 22, 23, 31, 32, 34, 39, 40]","['González', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,57,10.029810383609144,125.23272,8,"[11, 12, 21, 22, 23, 32, 34, 39]","['González', 'Güémez', 'Matamoros', 'Méndez', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,58,3.9182121727592514,146.150389,10,"[2, 6, 7, 11, 21, 22, 31, 32, 34, 39]","['Altamira', 'Camargo', 'Casas', 'González', 'Matamoros', 'Méndez', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,59,81.97187386326387,146.150389,3,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
0,60,53.56391419730214,128.460678,4,"[7, 11, 23, 39]","['Casas', 'González', 'Mier', 'Valle Hermoso']"
0,61,41.9734948534894,99.736447,6,"[1, 14, 16, 21, 26, 35]","['Aldama', 'Gustavo Díaz Ordaz', 'Jaumave', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
0,62,39.84522385355598,80.985011,8,"[2, 7, 20, 23, 26, 32, 35, 40]","['Altamira', 'Casas', 'El Mante', 'Mier', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás', 'Victoria']"
0,63,47.47552089843661,129.044191,4,"[20, 23, 32, 35]","['El Mante', 'Mier', 'Río Bravo', 'San Nicolás']"
0,64,25.060613760255265,87.858692,9,"[2, 5, 6, 7, 11, 26, 32, 34, 35]","['Altamira', 'Bustamante', 'Camargo', 'Casas', 'González', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás']"
0,65,7.283771005422787,103.28924,10,"[6, 11, 21, 22, 26, 31, 32, 34, 39, 40]","['Camargo', 'González', 'Matamoros', 'Méndez', 'Nuevo Laredo', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,66,26.77735594514023,81.262904,9,"[1, 7, 14, 21, 26, 27, 34, 35, 40]","['Aldama', 'Casas', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Nuevo Morelos', 'San Fernando', 'San Nicolás', 'Victoria']"
0,67,11.331249443668789,89.54682,10,"[5, 6, 7, 11, 21, 26, 32, 34, 39, 41]","['Bustamante', 'Camargo', 'Casas', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Villagrán']"
0,68,4.196939079436624,128.460678,10,"[2, 7, 11, 21, 22, 23, 31, 32, 34, 39]","['Altamira', 'Casas', 'González', 'Matamoros', 'Méndez', 'Mier', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,69,88.64983778054405,141.396971,3,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
0,70,41.09821990081241,99.762503,6,"[11, 14, 26, 32, 35, 40]","['González', 'Gustavo Díaz Ordaz', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás', 'Victoria']"
0,71,12.986530373186545,87.858692,10,"[2, 5, 6, 7, 11, 21, 26, 32, 34, 35]","['Altamira', 'Bustamante', 'Camargo', 'Casas', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás']"
0,72,89.5044624580781,138.045942,3,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
0,73,28.3599322365619,91.820321,7,"[5, 11, 14, 21, 26, 29, 34]","['Bustamante', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Padilla', 'San Fernando']"
0,74,41.72256357381549,141.396971,4,"[22, 24, 32, 42]","['Méndez', 'Miguel Alemán', 'Río Bravo', 'Xicoténcatl']"
0,75,14.94951394857128,89.54682,9,"[5, 6, 7, 11, 21, 26, 32, 34, 35]","['Bustamante', 'Camargo', 'Casas', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás']"
0,76,27.023597335640005,89.54682,8,"[5, 6, 7, 11, 26, 32, 34, 35]","['Bustamante', 'Camargo', 'Casas', 'González', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'San Nicolás']"
0,77,42.577188251349526,138.045942,4,"[20, 22, 24, 32]","['El Mante', 'Méndez', 'Miguel Alemán', 'Río Bravo']"
0,78,27.36475456179872,78.541369,9,"[2, 7, 24, 26, 32, 34, 40, 41, 42]","['Altamira', 'Casas', 'Miguel Alemán', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria', 'Villagrán', 'Xicoténcatl']"
