p,seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,indices_centros,centros
7,0,2,9.639804742129789,218.757001,"[7, 11, 21, 22, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,5,9.64548053305068,197.327862,"[7, 11, 21, 31, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,8,11.802306795671146,146.150389,"[6, 7, 11, 21, 32, 34, 39]","['Camargo', 'Casas', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,9,12.045891782517742,129.804564,"[7, 11, 21, 24, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,6,12.228397457087373,128.460678,"[7, 11, 21, 23, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,1,13.0821650572063,125.23272,"[11, 12, 21, 23, 32, 34, 39]","['González', 'Güémez', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
7,0,7,13.629647646046207,122.698237,"[11, 21, 23, 32, 34, 39, 40]","['González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
7,0,3,13.762580065320183,106.008269,"[11, 13, 21, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
7,0,4,17.069218781235904,103.28924,"[6, 11, 21, 26, 32, 34, 40]","['Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria']"
7,0,10,27.043796983190045,99.762503,"[4, 6, 11, 21, 26, 32, 40]","['Burgos', 'Camargo', 'González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'Victoria']"
7,11,11,27.287381970036634,99.762503,"[4, 11, 21, 24, 26, 32, 40]","['Burgos', 'González', 'Matamoros', 'Miguel Alemán', 'Nuevo Laredo', 'Río Bravo', 'Victoria']"
7,0,11,27.985130795785803,91.820321,"[11, 14, 18, 21, 26, 29, 34]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Padilla', 'San Fernando']"
7,3,12,28.084624843001357,91.820321,"[6, 11, 18, 26, 29, 32, 34]","['Camargo', 'González', 'Llera', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando']"
7,16,13,28.155376802252764,91.820321,"[11, 14, 18, 26, 29, 32, 34]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Nuevo Laredo', 'Padilla', 'Río Bravo', 'San Fernando']"
7,0,12,39.24114968378519,89.54682,"[7, 11, 14, 18, 21, 26, 35]","['Casas', 'González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
7,4,12,39.597805491816345,89.54682,"[0, 11, 14, 18, 21, 26, 35]","['Abasolo', 'González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
7,7,11,39.71270542777044,81.482774,"[1, 7, 14, 21, 26, 35, 38]","['Aldama', 'Casas', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'San Nicolás', 'Tula']"
7,16,11,39.81219947498599,81.482774,"[1, 6, 7, 26, 32, 35, 38]","['Aldama', 'Camargo', 'Casas', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás', 'Tula']"
7,6,11,42.260929560807384,89.54682,"[11, 14, 17, 18, 21, 26, 33]","['González', 'Gustavo Díaz Ordaz', 'Jiménez', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Carlos']"
7,3,11,42.87088498538146,89.54682,"[7, 11, 14, 18, 26, 32, 33]","['Casas', 'González', 'Gustavo Díaz Ordaz', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Carlos']"
