p,estadistico_w,valor_p,media_aleatorio_km,media_ga_km,mejora_porcentual,significativo_0_05
3,0.0,1.862645149230957e-09,120.17822030163704,32.56141237266287,72.90572926530572,True
5,0.0,1.862645149230957e-09,78.44901441720778,16.62166718898823,78.81214020026965,True
7,0.0,1.862645149230957e-09,73.97150986430371,9.63980474212979,86.96821957559955,True
10,0.0,1.862645149230957e-09,48.726741556270404,3.7218088063226835,92.36187627685985,True
