p,seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,indices_centros,centros
3,4,11,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,5,1,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,5,2,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,5,3,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,5,4,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,5,5,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,5,6,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,5,7,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,5,8,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,5,9,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,5,10,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,5,11,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,6,1,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,6,2,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,6,3,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,6,4,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,6,5,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,6,6,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,6,7,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,6,8,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,6,9,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,6,10,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,6,11,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,7,1,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,7,2,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,7,3,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,7,4,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,7,5,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,7,6,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,7,7,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,7,8,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,7,9,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,7,10,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,7,11,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,8,1,57.082257357436454,190.624696,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
3,8,2,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,8,3,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,8,4,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
3,8,5,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,8,6,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,8,7,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,8,8,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,8,9,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,8,10,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,8,11,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,9,1,32.56141237266288,218.757001,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
3,9,2,39.789813631059396,197.327862,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
3,9,3,59.77113611663137,166.394431,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
3,9,4,89.5044624580781,138.045942,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
3,9,5,74.24941736268339,150.277393,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
3,9,6,81.97187386326387,146.150389,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
3,9,7,57.53560466761939,176.097157,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
3,9,8,70.87439659669022,159.121441,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
3,9,9,57.96026278850363,171.210441,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
3,9,10,88.64983778054405,141.396971,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
