p,seed,fitness_km,indices_centros,centros
10,2,42.14245340083354,"[25, 11, 15, 3, 28, 31, 9, 40, 18, 14]","['Miquihuana', 'González', 'Hidalgo', 'Antiguo Morelos', 'Ocampo', 'Reynosa', 'Cruillas', 'Victoria', 'Llera', 'Gustavo Díaz Ordaz']"
10,3,35.53313247806977,"[31, 23, 34, 6, 27, 2, 1, 37, 4, 8]","['Reynosa', 'Mier', 'San Fernando', 'Camargo', 'Nuevo Morelos', 'Altamira', 'Aldama', 'Tampico', 'Burgos', 'Ciudad Madero']"
10,4,38.84164043097826,"[33, 35, 39, 26, 24, 19, 3, 38, 18, 31]","['San Carlos', 'San Nicolás', 'Valle Hermoso', 'Nuevo Laredo', 'Miguel Alemán', 'Mainero', 'Antiguo Morelos', 'Tula', 'Llera', 'Reynosa']"
10,5,84.6937391750901,"[28, 25, 41, 11, 20, 22, 2, 17, 29, 0]","['Ocampo', 'Miquihuana', 'Villagrán', 'González', 'El Mante', 'Méndez', 'Altamira', 'Jiménez', 'Padilla', 'Abasolo']"
10,6,69.47858566450124,"[41, 15, 40, 35, 42, 26, 37, 12, 14, 18]","['Villagrán', 'Hidalgo', 'Victoria', 'San Nicolás', 'Xicoténcatl', 'Nuevo Laredo', 'Tampico', 'Güémez', 'Gustavo Díaz Ordaz', 'Llera']"
10,7,19.21239002803221,"[21, 33, 30, 39, 37, 12, 32, 2, 9, 24]","['Matamoros', 'San Carlos', 'Palmillas', 'Valle Hermoso', 'Tampico', 'Güémez', 'Río Bravo', 'Altamira', 'Cruillas', 'Miguel Alemán']"
10,8,50.73630078005945,"[12, 32, 25, 37, 11, 8, 26, 6, 36, 24]","['Güémez', 'Río Bravo', 'Miquihuana', 'Tampico', 'González', 'Ciudad Madero', 'Nuevo Laredo', 'Camargo', 'Soto la Marina', 'Miguel Alemán']"
10,9,40.18050399872175,"[34, 30, 10, 14, 23, 4, 26, 31, 41, 42]","['San Fernando', 'Palmillas', 'Gómez Farías', 'Gustavo Díaz Ordaz', 'Mier', 'Burgos', 'Nuevo Laredo', 'Reynosa', 'Villagrán', 'Xicoténcatl']"
10,10,27.737980822110064,"[6, 32, 34, 26, 20, 9, 30, 7, 22, 33]","['Camargo', 'Río Bravo', 'San Fernando', 'Nuevo Laredo', 'El Mante', 'Cruillas', 'Palmillas', 'Casas', 'Méndez', 'San Carlos']"
10,11,30.149875661617966,"[1, 34, 28, 23, 39, 18, 4, 6, 20, 22]","['Aldama', 'San Fernando', 'Ocampo', 'Mier', 'Valle Hermoso', 'Llera', 'Burgos', 'Camargo', 'El Mante', 'Méndez']"
10,12,43.49335609603678,"[8, 7, 24, 39, 20, 36, 15, 40, 35, 2]","['Ciudad Madero', 'Casas', 'Miguel Alemán', 'Valle Hermoso', 'El Mante', 'Soto la Marina', 'Hidalgo', 'Victoria', 'San Nicolás', 'Altamira']"
10,13,35.681280441304274,"[34, 38, 29, 31, 30, 37, 3, 2, 7, 10]","['San Fernando', 'Tula', 'Padilla', 'Reynosa', 'Palmillas', 'Tampico', 'Antiguo Morelos', 'Altamira', 'Casas', 'Gómez Farías']"
10,14,45.387323514926194,"[39, 23, 42, 14, 13, 35, 27, 5, 3, 29]","['Valle Hermoso', 'Mier', 'Xicoténcatl', 'Gustavo Díaz Ordaz', 'Guerrero', 'San Nicolás', 'Nuevo Morelos', 'Bustamante', 'Antiguo Morelos', 'Padilla']"
10,15,41.89823000774216,"[30, 31, 9, 8, 18, 25, 13, 1, 24, 42]","['Palmillas', 'Reynosa', 'Cruillas', 'Ciudad Madero', 'Llera', 'Miquihuana', 'Guerrero', 'Aldama', 'Miguel Alemán', 'Xicoténcatl']"
10,16,48.54855674487654,"[19, 14, 3, 15, 26, 0, 21, 29, 18, 37]","['Mainero', 'Gustavo Díaz Ordaz', 'Antiguo Morelos', 'Hidalgo', 'Nuevo Laredo', 'Abasolo', 'Matamoros', 'Padilla', 'Llera', 'Tampico']"
